Timestamp,LeftBank,RightBank_1,RightBank_2
4/1/2024 15:29,71244,103333,
4/1/2024 16:29,70368,105911,
4/1/2024 17:29,72852,107797,
4/1/2024 18:29,73164,100418,
4/1/2024 19:29,72540,101036,
4/1/2024 20:29,72624,105081,
4/1/2024 21:29,73188,102060,
4/1/2024 22:29,74796,103834,
4/1/2024 23:29,72852,101720,
4/2/2024 0:29,78024,121280,
4/2/2024 1:29,79320,125659,
4/2/2024 2:29,82698,115003,
4/2/2024 3:29,80862,118325,
4/2/2024 4:29,73524,99615,
4/2/2024 5:29,72624,100108,
4/2/2024 6:29,72600,107976,
4/2/2024 7:29,72288,104548,
4/2/2024 8:29,70446,95695,
4/2/2024 9:29,73836,97445,
4/2/2024 10:29,68838,100690,
4/2/2024 11:29,73860,98155,
4/2/2024 12:29,71094,102029,
4/2/2024 13:29,68898,97043,
4/2/2024 14:29,78606,102133,
4/2/2024 15:29,76038,99000,
4/2/2024 16:29,67542,95860,
4/2/2024 17:29,68898,98731,
4/2/2024 18:29,78060,101106,
4/2/2024 19:29,80316,99389,
4/2/2024 20:29,81612,102204,
4/2/2024 21:29,76662,102063,
4/2/2024 22:29,71742,101335,
4/2/2024 23:29,70134,97271,
4/3/2024 0:29,67518,102127,
4/3/2024 1:29,68190,99777,
4/3/2024 2:29,71070,98927,
4/3/2024 3:29,71742,96677,
4/3/2024 4:29,76278,100278,
4/3/2024 5:29,73296,98361,
4/3/2024 6:29,74982,97708,
4/3/2024 7:29,67938,96649,
4/3/2024 8:29,69486,96326,
4/3/2024 9:29,68838,96174,
4/3/2024 10:29,71154,100661,
4/3/2024 11:29,70758,94860,
4/3/2024 12:29,10992,91630,
4/3/2024 13:29,47544,83704,
4/3/2024 14:29,66306,93643,
4/3/2024 15:29,66642,92952,
4/3/2024 16:29,69486,95774,
4/3/2024 17:29,68586,94014,
4/3/2024 18:29,68190,97557,
4/3/2024 19:29,66618,93763,
4/3/2024 20:29,72960,95496,
4/3/2024 21:29,73524,107261,
4/3/2024 22:29,69822,97153,
4/3/2024 23:29,71118,97144,
4/4/2024 0:29,79668,93566,
4/4/2024 1:29,80940,93132,
4/4/2024 2:29,69384,98521,
4/4/2024 3:29,72984,98017,
4/4/2024 4:29,68700,108592,
4/4/2024 5:29,67440,105649,
4/4/2024 6:29,69324,97281,
4/4/2024 7:29,69996,96748,
4/4/2024 8:29,71016,94023,
4/4/2024 9:29,70680,106234,
4/4/2024 10:29,72900,98577,
4/4/2024 11:29,73524,99775,
4/4/2024 12:29,72798,98156,
4/4/2024 13:29,72876,102126,
4/4/2024 14:29,74334,95796,
4/4/2024 15:29,77160,95461,
4/4/2024 16:29,73860,97326,
4/4/2024 17:29,72000,98746,
4/4/2024 18:29,56184,91294,
4/4/2024 19:29,71277,109583,
4/4/2024 20:29,72561,108910,
4/4/2024 21:29,70441,110884,
4/4/2024 22:29,69589,111078,
4/4/2024 23:29,67913,113463,
4/5/2024 0:29,70157,114698,
4/5/2024 1:29,69327,108455,
4/5/2024 2:29,68375,111520,
4/5/2024 3:29,69982,114108,
4/5/2024 4:29,69914,119159,
4/5/2024 5:29,69639,108977,
4/5/2024 6:29,70854,107299,
4/5/2024 7:29,69972,114556,
4/5/2024 8:29,68988,110325,
4/5/2024 9:29,70620,101534,
4/5/2024 10:29,71580,106599,
4/5/2024 11:29,72462,104525,
4/5/2024 12:29,70956,96364,
4/5/2024 13:29,72822,109301,
4/5/2024 14:29,73758,107056,
4/5/2024 15:29,76848,100609,
4/5/2024 16:29,75108,100490,
4/5/2024 17:29,88890,103046,
4/5/2024 18:29,87594,103717,
4/5/2024 19:29,78372,103134,
4/5/2024 20:29,75528,104812,
4/5/2024 21:29,75621,118794,
4/5/2024 22:29,76029,119152,
4/5/2024 23:29,73792,114322,
4/6/2024 0:29,74870,122954,
4/6/2024 1:29,75370,130296,
4/6/2024 2:29,74196,123987,
4/6/2024 3:29,79297,119768,
4/6/2024 4:29,80368,121248,
