Timestamp,LeftBank,RightBank_1,RightBank_2
2024-01-09 20:25:23,0,16320,0
2024-01-09 20:55:42,0,0,0
2024-01-09 20:57:25,0,0,7332
2024-01-09 21:27:44,0,0,0
2024-01-09 21:29:26,34752,15360,0
2024-01-09 21:59:45,0,0,0
2024-01-09 22:01:28,0,0,0
2024-01-09 22:31:47,3840,0,0
2024-01-09 22:33:21,0,0,79836
2024-01-09 23:03:41,0,0,0
2024-01-09 23:05:16,54176,0,0
2024-01-09 23:35:34,86772,37628,86580
2024-01-09 23:37:14,0,0,0
2024-01-10 00:07:33,50556,25536,0
2024-01-10 00:09:10,36096,11712,0
2024-01-10 00:39:29,0,0,0
2024-01-10 00:41:07,14208,12800,0
2024-01-10 01:11:27,0,0,0
2024-01-10 01:13:07,35520,0,0
2024-01-10 01:43:27,0,0,0
2024-01-10 01:45:03,0,0,0
2024-01-10 02:15:21,0,0,0
2024-01-10 02:17:03,0,0,0
2024-01-10 02:47:23,0,0,0
2024-01-10 02:49:14,0,0,0
2024-01-10 03:19:33,0,0,0
2024-01-10 03:21:09,0,0,0
2024-01-10 03:51:28,0,0,0
2024-01-10 03:53:02,0,0,0
2024-01-10 04:23:21,0,0,0
2024-01-10 04:24:57,0,0,0
2024-01-10 04:55:17,0,0,61404
2024-01-10 04:56:58,0,0,0
2024-01-10 05:27:17,0,25032,0
2024-01-10 05:28:57,0,31936,0
2024-01-10 05:59:15,0,28968,0
2024-01-10 06:00:52,0,22584,0
2024-01-10 06:31:10,0,0,0
2024-01-10 06:32:48,0,0,0
2024-01-10 07:03:09,0,0,0
2024-01-10 07:04:46,0,0,0
2024-01-10 07:35:06,74196,62852,88052
2024-01-10 07:36:56,81732,71156,93004
2024-01-10 08:07:13,87180,77156,85953
2024-01-10 08:09:19,85452,77924,87060
2024-01-10 08:39:38,85668,79844,87234
2024-01-10 08:41:43,84684,75236,95826
2024-01-10 09:12:04,83340,74980,84976
2024-01-10 09:14:07,87396,76772,85716
2024-01-10 09:44:28,87588,76388,87128
2024-01-10 09:46:33,83508,78500,111604
2024-01-10 10:16:51,88526,80228,102706
2024-01-10 10:18:55,86028,72106,99967
2024-01-10 10:49:16,84132,76964,91691
2024-01-10 10:51:18,87036,80420,90024
2024-01-10 11:21:40,86055,76580,98422
2024-01-10 11:23:44,88332,79844,110267
2024-01-10 11:54:07,83940,78116,88939
2024-01-10 11:56:10,85644,76964,95958
2024-01-10 12:26:30,86028,70948,104505
2024-01-10 12:28:35,83172,72869,99005
2024-01-10 12:58:55,81805,77284,82715
2024-01-10 13:00:59,82188,75748,88067
2024-01-10 13:31:22,82380,71716,81108
2024-01-10 13:33:17,83748,74468,84953
2024-01-10 14:03:37,86220,75940,88045
2024-01-10 14:05:38,86028,70948,87399
